penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
1.0,1,60,60,44,ClearNoon,Town01,120.0,115.94014978408813,0.9661679148674012,1380,25000,1380,0,2,2,0,130772,4758,5100,3370,49,0,0,3600,0,0.016375000000000008,0.0165,793,256,331
1.0,2,60,60,47,ClearNoon,Town01,120.0,122.48526287078857,1.0207105239232381,1384,25000,1384,0,0,0,0,131319,5184,4863,2634,59,0,0,3600,0,0.016375000000000008,0.0165,658,330,396
1.0,3,60,60,44,ClearNoon,Town01,120.0,113.45448803901672,0.945454066991806,1313,25000,1313,0,0,0,0,132931,4312,4150,2408,62,1,0,3600,0,0.016375000000000008,0.0165,725,306,282
1.0,4,60,60,44,ClearNoon,Town01,120.0,109.68722224235535,0.9140601853529612,1393,25000,1393,0,3,3,0,133784,4157,4076,1983,36,0,0,3600,0,0.016375000000000008,0.0165,611,281,501
1.0,0,60,60,42,ClearNoon,Town05,120.0,145.20075845718384,1.210006320476532,1368,25000,1368,0,1,1,0,134676,1845,2328,5151,40,0,0,3600,0,0.016375000000000008,0.0165,467,402,499
1.0,1,60,60,43,ClearNoon,Town05,120.0,139.05224919319153,1.158768743276596,816,14384,816,0,2,2,0,132416,2170,2035,7379,26,0,0,3600,0,0.016375000000000008,0.0165,351,146,319
1.0,2,60,60,41,ClearNoon,Town05,120.0,150.7570343017578,1.256308619181315,1172,22192,1172,0,0,0,0,133165,3377,2845,4613,53,0,0,3600,0,0.016375000000000008,0.0165,478,443,251
1.0,3,60,60,42,ClearNoon,Town05,120.0,148.51326656341553,1.2376105546951295,1107,20344,1107,0,0,0,0,132717,2865,1962,6456,41,0,0,3600,0,0.016375000000000008,0.0165,386,303,418
1.0,4,60,60,42,ClearNoon,Town05,120.0,137.73041701316833,1.147753475109736,837,15190,837,0,4,4,0,134396,2512,2084,5008,27,0,0,3600,0,0.016375000000000008,0.0165,433,156,248
1.0,0,60,60,60,ClearNoon,Town10HD_Opt,120.0,179.2355453968048,1.4936295449733734,1397,25000,1397,0,0,0,0,123539,8385,6524,5552,160,0,0,3600,0,0.016375000000000008,0.0165,525,452,420
1.0,1,60,60,59,ClearNoon,Town10HD_Opt,120.0,191.53172612190247,1.5960977176825206,1390,25000,1390,0,3,3,0,121423,8533,7510,6534,140,0,0,3600,0,0.016375000000000008,0.0165,628,327,435
1.0,2,60,60,59,ClearNoon,Town10HD_Opt,120.0,194.95214939117432,1.6246012449264526,1399,25000,1399,0,3,3,0,123628,7575,6589,6208,311,0,0,3600,0,0.016375000000000008,0.0165,743,349,307
1.0,3,60,60,59,ClearNoon,Town10HD_Opt,120.0,189.7351987361908,1.5811266561349233,1418,25000,1418,0,1,1,0,124147,7844,6856,5153,187,0,0,3600,0,0.016375000000000008,0.0165,527,395,496
1.0,4,60,60,59,ClearNoon,Town10HD_Opt,120.0,195.14237928390503,1.626186494032542,1392,25000,1392,0,4,4,0,124530,7141,5962,6367,198,0,0,3600,0,0.016375000000000008,0.0165,569,281,542
1.0,0,60,60,45,ClearSunset,Town01,120.0,122.94594693183899,1.024549557765325,1398,25000,1398,0,3,3,0,131260,4867,5076,2797,80,0,0,3600,0,0.016375000000000008,0.0165,785,246,367
1.0,1,60,60,44,ClearSunset,Town01,120.0,123.00850439071655,1.0250708699226379,1396,25000,1396,0,2,2,0,131493,4872,4951,2684,36,0,0,3600,0,0.016375000000000008,0.0165,703,404,289
1.0,2,60,60,47,ClearSunset,Town01,120.0,125.43439888954163,1.045286657412847,1410,25000,1410,0,4,4,0,130906,4634,5093,3367,117,0,0,3600,0,0.016375000000000008,0.0165,721,321,368
1.0,3,60,60,44,ClearSunset,Town01,120.0,118.4721531867981,0.9872679432233175,1388,25000,1388,0,0,0,0,131562,5096,4563,2580,69,1,0,3600,0,0.016375000000000008,0.0165,779,331,278
1.0,4,60,60,44,ClearSunset,Town01,120.0,117.7167227268219,0.9809726893901825,1422,25000,1422,0,1,1,0,130315,5507,4832,3327,40,1,0,3600,0,0.016375000000000008,0.0165,640,278,504
1.0,0,60,60,42,ClearSunset,Town05,120.0,152.546160697937,1.2712180058161417,1311,25000,1311,0,0,0,0,133183,2304,2762,5751,19,0,0,3600,0,0.016375000000000008,0.0165,538,405,368
1.0,2,60,60,41,ClearSunset,Town05,120.0,153.87972688674927,1.2823310573895772,1285,25000,1285,0,0,0,0,133379,3343,2583,4695,63,0,0,3600,0,0.016375000000000008,0.0165,388,679,218
